id,value,name,loc_type,parent,latitude,longitude
23996,20302556,MATHU BHUIYAN,4,203025,22.9511913277,91.3331056648
23997,20309466,MATIGANJ,4,203094,22.8801887476,91.3988631905
23998,20155353,MAYANI,4,201553,22.7302962317,91.5488903826
23999,20845881,MAYANIMUKH,4,208458,23.0015651653,92.153207391
24000,20153765,MEKHAL,4,201537,22.5013958449,91.8363513881
24001,20464379,MERUNG,4,204643,23.1345718782,92.1024371387
24002,20193664,MARUKA,4,201936,23.4551387661,90.7921256985
24003,20134599668,MIRPUR,5,20134599,,
24004,20514350631,MIRPUR,5,20514350,,
24005,20195450624,MIRSIKARI,5,20195450,,
24006,20126363716,MIRTALA,5,20126363,,
24007,20194099670,MIRZANAGAR,5,20194099,,
24008,20305147593,MIRZANAGAR,5,20305147,,
24009,20754770596,MIRZANAGAR,5,20754770,,
24010,20198190591,MIRZAPUR,5,20198190,,
24011,20132267714,MIRZAPUR,5,20132267,,
24012,20197445622,MIRZAPUR,5,20197445,,
24013,20751099566,MIRZAPUR,5,20751099,,
24014,20514375635,MIRZAPUR,5,20514375,,
24015,20309457735,MIRZAPUR,5,20309457,,
24016,20754755603,MIRZAPUR,5,20754755,,
24017,20153771682,MIRZAPUR,5,20153771,,
24018,20155359548,MITHACHHARA,5,20155359,,
24019,20153735702,MITHACHHARA,5,20153735,,
24020,20191869589,MITHALMA,5,20191869,,
24021,20153735721,MITHANALA,5,20153735,,
24022,20155365557,MITHANALA RAJAPUR,5,20155365,,
24023,20514355640,MITHARKHIL,5,20514355,,
24024,20120481769,MITHI BANAGAR,5,20120481,,
24025,20191894603,MITHILAPUR,5,20191894,,
24026,20842179852,MITINGA CHHARI,5,20842179,,
24027,20137915670,MITURKANDI,5,20137915,,
24028,20137699674,MOBARAKDI,5,20137699,,
24029,20302925616,MOBARAKGHONA,5,20302925,,
24030,20155322576,MOBARAKGHONA,5,20155322,,
24031,20193634608,MOBARAKPUR,5,20193634,,
24032,20198145598,MOCHAGARA,5,20198145,,
24033,20139593587,MOFALLA,5,20139593,,
24034,20198743672,MOGRA,5,20198743,,
24035,20120285749,MOGRA GANGANAGAR,5,20120285,,
24036,20128562687,MOHALLA,5,20128562,,
24037,20153741624,MOHAMMADABAD,5,20153741,,
24038,20151895707,MOHAMMADKHALI,5,20151895,,
24039,20158258616,MOHAMMADKHALI,5,20158258,,
24040,20514370644,MOHAMMADNAGAR,5,20514370,,
24041,20193673649,MOHAMMADPUR,5,20193673,,
24042,20190950581,MOHAMMADPUR,5,20190950,,
24043,20134925560,MOHAMMADPUR,5,20134925,,
24044,20197235570,MOHAMMADPUR,5,20197235,,
24045,20305140562,MOHAMMADPUR,5,20305140,,
24046,20751038574,MOHAMMADPUR,5,20751038,,
24047,20758099613,MOHAMMADPUR,5,20758099,,
24048,20302577582,MOHAMMADPUR,5,20302577,,
24049,20750712612,MOHAMMADPUR,5,20750712,,
24050,20302922652,MOHAMMADPUR,5,20302922,,
24051,20157840577,MOHAMMADPUR,5,20157840,,
24052,20151876751,MOHAMMADPUR,5,20151876,,
24053,20121381665,MOHANPUR,5,20121381,,
24054,20199469670,MOHANPUR,5,20199469,,
24055,20194017677,MOHANPUR,5,20194017,,
24056,20192787623,MOHANPUR,5,20192787,,
24057,20137938678,MOHANPUR,5,20137938,,
24058,20191869608,MOKAM,5,20191869,,
24059,20301485615,MOKAMIA,5,20301485,,
24060,20198769674,MOKARA,5,20198769,,
24061,20198773580,MOKRABPUR,5,20198773,,
24062,20137964682,MOKTARKANDI,5,20137964,,
24063,20516519585,MOKTARPUR,5,20516519,,
24064,20157855641,MOKTARPUR,5,20157855,,
24065,20750710649,MOLAYEMPUR,5,20750710,,
24066,20128567693,MOLLA,5,20128567,,
24067,20751028583,MOLLAH PATTAN,5,20751028,,
24068,20193685674,MOLLAKANDI,5,20193685,,
24069,20134918587,MOLLAR DAHAR,5,20134918,,
24070,20137915645,MOMREZKANDI,5,20137915,,
24071,20132258709,MONIAPUR,5,20132258,,
24072,20196773650,MONSHASAN,5,20196773,,
24073,20155377539,MORGANG,5,20155377,,
24074,20193138676,MORICHATALI,5,20193138,,
24075,20137964661,MOSTAFAPUR,5,20137964,,
24076,20156121697,MOT PARA,5,20156121,,
24077,20155359585,MOTBARIA,5,20155359,,
24078,20038938688,MROKHYONG,5,20038938,,
24079,20031447621,MRUNG KHYONG,5,20031447,,
24080,20842557895,MUBA CHHARI,5,20842557,,
24081,20466563688,MUBACHHARI,5,20466563,,
24082,20197263631,MUDAFARGANJ,5,20197263,,
24083,20132276730,MUGADI,5,20132276,,
24084,20197595635,MUGAR CHAR,5,20197595,,
24085,20190944633,MUGGAON,5,20190944,,
24086,20190969572,MUGJI,5,20190969,,
24087,20194011684,MUGSAIR,5,20194011,,
24088,20198136604,MUGSAIR,5,20198136,,
24089,20750724646,MUJAHIDPUR,5,20750724,,
24090,20153771,MIRZAPUR,4,201537,22.5459173822,91.7781377021
24091,20120285,MOGRA,4,201202,23.8358471147,91.2097928996
24092,20301457,MOHAMAYA,4,203014,23.0830282837,91.5017542533
24093,20758076,MOHAMMADPUR,4,207580,22.9435059264,91.2502814807
24094,20758543,MOHAMMADPUR,4,207585,22.5298542153,91.1950205712
24095,20193684,MOHAMMADPUR PURBA,4,201936,23.4901029254,90.8360644373
24096,20194017,MOHANPUR,4,201940,23.5271545708,91.0269314947
24097,20191869,MOKAM,4,201918,23.4904570838,91.0588059637
24098,20198769,MOKARA,4,201987,23.148231421,91.2248867449
24099,20466563,MUBACHHARI,4,204665,22.9559004988,92.0714663796
24100,20197263,MUDAFARGANJ,4,201972,23.2400797829,91.0535296439
24101,20224983738,MUKBEKI,5,20224983,,
24102,20158619757,MUKKAMNAGAR,5,20158619,,
24103,20753647739,MUKLUD (PART),5,20753647,,
24104,20466123930,MUKTACHHARI,5,20466123,,
24105,20134595674,MUKUNDAPUR,5,20134595,,
24106,20134970590,MUKUNDASAR,5,20134970,,
24107,20132263728,MUKUNDI,5,20132263,,
24108,20156130703,MUKUTNAIT,5,20156130,,
24109,20134771082,MULABARI,5,20134771,,
24110,20126394693,MULGRAM,5,20126394,,
24111,20150894718,MULKIR CHAR,5,20150894,,
24112,20134505680,MULPARA,5,20134505,,
24113,20137699686,MUNSABDI,5,20137699,,
24114,20516519597,MUNSABPUR,5,20516519,,
24115,20195476645,MUNSHI MATHABHANGA,5,20195476,,
24116,20198780632,MUNSHIR KALAMIA,5,20198780,,
24117,20758765611,MUNSHIR TALUK,5,20758765,,
24118,20137915690,MUNSHIRKANDI,5,20137915,,
24119,20754727615,MURA AMIRABAD,5,20754727,,
24120,20151885773,MURADABAD,5,20151885,,
24121,20198154611,MURADNAGAR,5,20198154,,
24122,20192787631,MURADNAGAR,5,20192787,,
24123,20192771639,MURADPUR,5,20192771,,
